X,Y,Z
0.01	-0.00	0.01	-0.06	-0.00	-0.02		-4.96	-0.24	8.69	-0.02	-0.02	0.01
0.01	-0.02	-0.02	-0.06	-0.00	-0.02		-5.07	-0.28	8.73	-0.02	-0.02	0.01
0.01	-0.04	-0.01	-0.06	-0.01	-0.02		-4.97	-0.24	8.78	-0.02	-0.02	0.02
0.00	0.00	-0.00	-0.06	-0.01	-0.02		-5.14	-0.29	8.79	-0.01	-0.02	0.01
-0.00	0.00	-0.01	-0.06	-0.00	-0.02		-4.98	-0.28	8.83	-0.01	-0.02	0.01
0.01	-0.01	-0.02	-0.06	-0.00	-0.02		-5.10	-0.33	8.82	-0.02	-0.02	0.02
0.01	-0.00	-0.04	-0.06	-0.00	-0.02		-5.05	-0.25	8.77	-0.02	-0.02	0.01
0.02	-0.01	-0.01	-0.06	-0.01	-0.02		-5.13	-0.29	8.73	-0.02	-0.02	0.02
0.02	-0.02	-0.01	-0.06	-0.00	-0.02		-5.02	-0.25	8.81	-0.01	-0.02	0.02
-0.01	0.00	0.00	-0.06	-0.00	-0.02		-5.12	-0.24	8.72	-0.02	-0.02	0.02
0.00	0.00	0.02	-0.06	-0.00	-0.02		-5.00	-0.25	8.76	-0.02	-0.02	0.02
0.01	0.00	-0.04	-0.06	-0.00	-0.02		-5.05	-0.21	8.80	-0.02	-0.01	0.02
0.02	0.01	-0.02	-0.06	-0.00	-0.02		-5.09	-0.34	8.77	-0.02	-0.02	0.02
0.01	-0.02	-0.01	-0.06	-0.01	-0.02		-5.09	-0.22	8.79	-0.02	-0.02	0.02
0.02	-0.01	-0.02	-0.06	-0.01	-0.02		-5.21	-0.27	8.74	-0.02	-0.02	0.01
0.00	-0.02	-0.01	-0.06	-0.01	-0.02		-5.01	-0.21	8.82	-0.02	-0.02	0.02
0.00	-0.01	-0.02	-0.06	-0.00	-0.02		-5.14	-0.31	8.71	-0.02	-0.02	0.01
0.01	0.00	-0.04	-0.06	-0.01	-0.02		-4.94	-0.21	8.81	-0.02	-0.01	0.01
0.00	-0.01	-0.03	-0.06	-0.00	-0.02		-5.11	-0.26	8.73	-0.02	-0.02	0.01
0.01	-0.00	-0.01	-0.06	-0.00	-0.02		-4.99	-0.24	8.76	-0.02	-0.02	0.01
0.00	-0.01	-0.01	-0.06	-0.00	-0.02		-5.07	-0.28	8.77	-0.02	-0.02	0.01
0.01	0.00	-0.00	-0.06	-0.01	-0.02		-5.04	-0.22	8.70	-0.01	-0.02	0.01
0.01	0.00	0.00	-0.06	-0.00	-0.02		-5.10	-0.27	8.72	-0.02	-0.02	0.01
0.02	-0.01	-0.03	-0.06	-0.00	-0.02		-5.14	-0.28	8.79	-0.02	-0.02	0.01
0.01	-0.02	-0.03	-0.06	-0.00	-0.02		-5.05	-0.22	8.78	-0.02	-0.02	0.02
0.00	-0.01	-0.01	-0.06	-0.01	-0.02		-5.16	-0.28	8.71	-0.02	-0.02	0.02
0.02	-0.01	0.00	-0.06	-0.00	-0.02		-5.02	-0.22	8.76	-0.01	-0.02	0.01
0.02	-0.03	-0.01	-0.06	-0.00	-0.02		-5.11	-0.27	8.72	-0.02	-0.02	0.01
-0.00	-0.01	-0.01	-0.06	-0.00	-0.02		-4.98	-0.20	8.74	-0.01	-0.02	0.01
0.01	-0.01	0.00	-0.06	-0.00	-0.02		-5.08	-0.20	8.81	-0.02	-0.02	0.01
0.02	0.00	-0.00	-0.06	-0.01	-0.02		-4.93	-0.27	8.81	-0.01	-0.02	0.01
0.02	-0.01	0.00	-0.06	-0.00	-0.02		-5.07	-0.22	8.78	-0.02	-0.02	0.01
-0.01	-0.01	-0.00	-0.06	-0.00	-0.02		-4.99	-0.27	8.77	-0.02	-0.02	0.01
0.00	-0.02	-0.02	-0.06	-0.00	-0.02		-5.03	-0.24	8.85	-0.01	-0.02	0.01
0.00	-0.02	-0.03	-0.06	-0.01	-0.02		-4.99	-0.29	8.83	-0.02	-0.02	0.02
0.00	-0.01	-0.02	-0.06	-0.01	-0.02		-4.98	-0.22	8.75	-0.01	-0.02	0.02
0.00	-0.00	0.00	-0.06	-0.00	-0.02		-5.01	-0.26	8.75	-0.01	-0.02	0.02
0.00	-0.01	0.00	-0.06	-0.00	-0.02		-5.04	-0.23	8.71	-0.02	-0.02	0.02
0.01	-0.01	-0.03	-0.06	-0.01	-0.02		-5.09	-0.34	8.80	-0.02	-0.02	0.01
0.02	-0.01	-0.03	-0.06	-0.01	-0.02		-5.00	-0.19	8.76	-0.02	-0.02	0.01
0.00	0.00	-0.01	-0.06	-0.00	-0.02		-5.15	-0.30	8.71	-0.02	-0.02	0.01
0.00	0.00	-0.01	-0.06	-0.00	-0.02		-4.97	-0.24	8.76	-0.01	-0.02	0.01
0.03	-0.01	-0.00	-0.06	-0.01	-0.02		-5.10	-0.29	8.72	-0.02	-0.02	0.02
0.00	-0.01	-0.01	-0.06	-0.01	-0.02		-5.05	-0.28	8.77	-0.02	-0.02	0.01
0.00	-0.02	0.00	-0.06	-0.00	-0.02		-5.11	-0.31	8.79	-0.02	-0.02	0.02
0.00	-0.02	-0.02	-0.06	-0.01	-0.02		-5.04	-0.23	8.76	-0.01	-0.02	0.02
-0.01	-0.00	-0.02	-0.06	-0.00	-0.02		-5.11	-0.31	8.90	-0.02	-0.02	0.02
0.00	-0.01	0.00	-0.06	-0.00	-0.02		-5.01	-0.27	8.65	-0.01	-0.02	0.01
-0.01	-0.00	-0.03	-0.06	-0.00	-0.02		-5.16	-0.27	8.78	-0.02	-0.02	0.01
-0.02	-0.00	-0.05	-0.06	-0.00	-0.02		-5.12	-0.33	8.74	-0.02	-0.02	0.02
0.02	0.02	0.02	-0.06	-0.00	-0.02		-5.00	-0.20	8.77	-0.02	-0.02	0.01
0.00	-0.00	0.02	-0.06	-0.00	-0.02		-5.12	-0.30	8.79	-0.02	-0.02	0.02
0.00	-0.02	-0.01	-0.06	-0.01	-0.02		-5.04	-0.25	8.74	-0.02	-0.02	0.01
-0.01	-0.02	-0.00	-0.06	-0.01	-0.02		-5.15	-0.26	8.72	-0.02	-0.01	0.01
-0.00	-0.00	0.01	-0.06	-0.00	-0.02		-4.94	-0.25	8.76	-0.01	-0.02	0.02
0.01	-0.00	-0.02	-0.06	-0.00	-0.02		-5.10	-0.28	8.79	-0.02	-0.02	0.02
-0.02	0.00	-0.00	-0.06	-0.01	-0.02		-4.93	-0.25	8.76	-0.02	-0.02	0.01
-0.00	-0.01	0.02	-0.06	-0.01	-0.02		-5.10	-0.22	8.69	-0.02	-0.02	0.02
0.01	0.00	-0.03	-0.06	-0.01	-0.02		-4.98	-0.20	8.85	-0.01	-0.02	0.02
0.00	-0.00	-0.03	-0.06	-0.00	-0.02		-5.03	-0.23	8.70	-0.01	-0.02	0.02
-0.01	-0.01	-0.01	-0.06	-0.01	-0.02		-5.02	-0.30	8.77	-0.01	-0.02	0.02
0.00	-0.01	-0.01	-0.06	-0.01	-0.02		-4.98	-0.20	8.76	-0.02	-0.02	0.02
0.00	-0.01	-0.03	-0.06	-0.00	-0.02		-4.99	-0.25	8.80	-0.02	-0.02	0.02
0.00	-0.00	-0.02	-0.06	-0.00	-0.02		-4.95	-0.19	8.78	-0.01	-0.02	0.01
-0.01	-0.01	-0.04	-0.06	-0.00	-0.02		-5.06	-0.32	8.77	-0.02	-0.02	0.01
0.01	-0.02	-0.02	-0.06	-0.00	-0.02		-4.98	-0.26	8.73	-0.01	-0.02	0.02
0.00	-0.03	0.00	-0.06	-0.00	-0.02		-5.12	-0.31	8.69	-0.01	-0.02	0.02
0.02	-0.02	0.01	-0.06	-0.00	-0.02		-4.99	-0.24	8.71	-0.02	-0.02	0.01
-0.01	-0.02	0.03	-0.06	-0.01	-0.02		-5.05	-0.33	8.77	-0.01	-0.02	0.02
-0.00	-0.01	0.01	-0.06	-0.01	-0.02		-5.02	-0.24	8.75	-0.02	-0.02	0.02
0.00	-0.01	-0.00	-0.06	-0.00	-0.02		-5.14	-0.24	8.77	-0.02	-0.02	0.01
-0.02	-0.01	0.00	-0.06	-0.01	-0.02		-4.99	-0.27	8.83	-0.02	-0.02	0.01
0.00	-0.00	-0.02	-0.06	-0.00	-0.02		-5.08	-0.28	8.78	-0.01	-0.02	0.01
0.00	-0.01	-0.00	-0.06	-0.00	-0.02		-4.98	-0.28	8.77	-0.01	-0.02	0.02
0.01	0.00	0.00	-0.06	-0.01	-0.02		-5.09	-0.28	8.72	-0.01	-0.02	0.01
0.01	-0.01	-0.01	-0.06	-0.01	-0.02		-5.09	-0.26	8.77	-0.02	-0.02	0.02
-0.00	-0.02	-0.01	-0.06	-0.01	-0.02		-5.04	-0.22	8.73	-0.02	-0.02	0.02
-0.00	0.00	-0.01	-0.06	-0.01	-0.02		-5.14	-0.28	8.73	-0.02	-0.02	0.02
0.01	-0.01	0.00	-0.06	-0.00	-0.02		-5.00	-0.27	8.73	-0.02	-0.02	0.01
0.01	-0.01	-0.02	-0.06	-0.01	-0.02		-5.14	-0.31	8.77	-0.02	-0.02	0.02
0.01	0.00	0.00	-0.06	-0.01	-0.02		-5.00	-0.26	8.78	-0.02	-0.02	0.01
0.00	-0.02	-0.02	-0.06	-0.01	-0.02		-5.03	-0.26	8.76	-0.01	-0.02	0.02
-0.02	-0.01	0.02	-0.06	-0.00	-0.02		-5.01	-0.26	8.71	-0.02	-0.02	0.01
-0.00	-0.00	-0.03	-0.06	-0.00	-0.02		-5.09	-0.23	8.80	-0.02	-0.02	0.01
0.00	-0.02	-0.01	-0.06	-0.01	-0.02		-5.02	-0.24	8.76	-0.02	-0.02	0.01
0.00	-0.00	0.00	-0.06	-0.00	-0.02		-5.11	-0.26	8.68	-0.01	-0.02	0.01
0.00	-0.01	-0.02	-0.06	-0.00	-0.02		-5.05	-0.28	8.76	-0.02	-0.02	0.02
0.01	-0.01	-0.01	-0.06	-0.00	-0.02		-5.00	-0.22	8.81	-0.01	-0.02	0.02
0.01	0.00	0.00	-0.06	-0.00	-0.02		-4.97	-0.28	8.73	-0.02	-0.02	0.02
